"""","総  数_建築物数(棟)","総  数_床面積計(千m2)","総  数_予定額(百万円)","国_床面積計(千m2)","国_工事費予定額(百万円)","県_床面積計(千m2)","県_工事費予定額(百万円)","市町村_床面積計(千m2)","市町村_工事費予定額(百万円)","会社_床面積計(千m2)","会社_工事費予定額(百万円)","会社でない団体_床面積計(千m2)","会社でない団体_工事費予定額(百万円)","個人_床面積計(千m2)","個人_工事費予定額(百万円)"
"平成20年(2008年)","5059.0","971.0","152389.0","2.0","541.0","20.0","3641.0","39.92","8693.0","297.914","37009.0","85.872","17164.0","526.061","85340.0"
"平成21年(2009年)","4646.0","828.0","130632.0","1.0","183.0","24.0","6629.0","34.0","7332.0","260.0","30662.0","48.0","9099.0","461.0","76727.0"
"平成22年(2010年)","4819.0","972.463","163062.0","5.0","346.0","27.0","6370.0","89.0","20163.0","304.0","44309.0","79.0","13975.0","469.0","77899.0"
"","","","","","","","","","","","","","","",""
"平成23年(2011年)","4622.0","972.552","161730.35","20.31","4895.74","37.112","12012.52","77.503","19552.54","302.791","35264.85","78.918","15148.99","455.918","74855.71"
"平成24年(2012年)","4753.0","1078.182","172439.21","3.586","665.65","31.149","6124.2","70.776","15912.04","417.575","51639.39","108.112","21947.21","446.984","76150.72"
"平成25年(2013年)","5540.0","979.336","167359.76","4.295","1166.5","11.617","3439.46","56.976","14831.34","256.656","32090.82","111.246","25301.04","538.546","90530.6"
"平成26年(2014年)","4685.0","877.0","150381.0","4.0","1174.0","8.0","2391.0","66.0","15296.0","307.0","41457.0","64.0","16596.0","429.0","73467.0"
"","","","","","","","","","","","","","","",""
"2014年 1月","399.0","64.0","10559.0","0.0","0.0","3.0","1201.0","0.0","37.0","15.0","1597.0","4.0","764.0","41.0","6960.0"
"2014年 2月","388.0","78.0","11579.0","0.0","45.0","0.0","84.0","4.0","1080.0","34.0","3559.0","3.0","731.0","36.0","6080.0"
"2014年 3月","368.0","96.0","17024.0","1.0","170.0","0.0","0.0","9.0","2898.0","49.0","6723.0","7.0","2025.0","30.0","5208.0"
"2014年 4月","420.0","66.0","10427.0","0.0","119.0","0.0","73.0","8.0","1379.0","21.0","2511.0","3.0","692.0","33.0","5653.0"
"2014年 5月","314.0","50.0","8782.0","0.0","0.0","3.0","895.0","4.0","1147.0","12.0","1671.0","1.0","199.0","30.0","4870.0"
"2014年 6月","437.0","90.0","17197.0","0.0","0.0","0.0","0.0","15.0","3510.0","21.0","3486.0","13.0","3146.0","40.0","7055.0"
"","","","","","","","","","","","","","","",""
"2014年 7月","383.0","75.0","14228.0","1.0","440.0","0.0","0.0","6.0","1708.0","27.0","4355.0","5.0","1720.0","35.0","6005.0"
"2014年 8月","373.0","59.0","9803.0","1.0","240.0","0.0","0.0","1.0","150.0","15.0","1706.0","3.0","861.0","39.0","6847.0"
"2014年 9月","438.0","63.0","11041.0","0.0","0.0","0.0","3.0","3.0","520.0","16.0","2468.0","4.0","1437.0","39.0","6613.0"
"2014年10月","288.0","46.0","8221.0","0.0","0.0","0.0","41.0","0.0","14.0","15.0","2663.0","2.0","423.0","29.0","5081.0"
"2014年11月","465.0","127.0","20850.0","1.0","123.0","1.0","68.0","12.0","2566.0","58.0","7196.0","17.0","4119.0","39.0","6778.0"
"2014年12月","412.0","63.0","10672.0","0.0","36.0","0.0","28.0","2.0","286.0","22.0","3523.0","2.0","480.0","37.0","6318.0"
